,ID,PSPI
0,ll042t1aaaff001.png,0.0
1,ll042t1aaaff002.png,0.0
2,ll042t1aaaff003.png,0.0
3,ll042t1aaaff004.png,0.0
4,ll042t1aaaff005.png,0.0
5,ll042t1aaaff006.png,0.0
6,ll042t1aaaff007.png,0.0
7,ll042t1aaaff008.png,0.0
8,ll042t1aaaff009.png,0.0
9,ll042t1aaaff010.png,0.0
10,ll042t1aaaff011.png,0.0
11,ll042t1aaaff012.png,0.0
12,ll042t1aaaff013.png,0.0
13,ll042t1aaaff014.png,0.0
14,ll042t1aaaff015.png,0.0
15,ll042t1aaaff016.png,0.0
16,ll042t1aaaff017.png,0.0
17,ll042t1aaaff018.png,0.0
18,ll042t1aaaff019.png,0.0
19,ll042t1aaaff020.png,1.0
20,ll042t1aaaff021.png,2.0
21,ll042t1aaaff022.png,2.0
22,ll042t1aaaff023.png,4.0
23,ll042t1aaaff024.png,4.0
24,ll042t1aaaff025.png,4.0
25,ll042t1aaaff026.png,5.0
26,ll042t1aaaff027.png,6.0
27,ll042t1aaaff028.png,6.0
28,ll042t1aaaff029.png,6.0
29,ll042t1aaaff030.png,5.0
30,ll042t1aaaff031.png,5.0
31,ll042t1aaaff032.png,4.0
32,ll042t1aaaff033.png,4.0
33,ll042t1aaaff034.png,2.0
34,ll042t1aaaff035.png,2.0
35,ll042t1aaaff036.png,2.0
36,ll042t1aaaff037.png,1.0
37,ll042t1aaaff038.png,0.0
38,ll042t1aaaff039.png,0.0
39,ll042t1aaaff040.png,0.0
40,ll042t1aaaff041.png,0.0
41,ll042t1aaaff042.png,0.0
42,ll042t1aaaff043.png,0.0
43,ll042t1aaaff044.png,0.0
44,ll042t1aaaff045.png,0.0
45,ll042t1aaaff046.png,0.0
46,ll042t1aaaff047.png,0.0
47,ll042t1aaaff048.png,0.0
48,ll042t1aaaff049.png,0.0
49,ll042t1aaaff050.png,0.0
50,ll042t1aaaff051.png,0.0
51,ll042t1aaaff052.png,0.0
52,ll042t1aaaff053.png,0.0
53,ll042t1aaaff054.png,0.0
54,ll042t1aaaff055.png,0.0
55,ll042t1aaaff056.png,0.0
56,ll042t1aaaff057.png,0.0
57,ll042t1aaaff058.png,0.0
58,ll042t1aaaff059.png,0.0
59,ll042t1aaaff060.png,0.0
60,ll042t1aaaff061.png,0.0
61,ll042t1aaaff062.png,0.0
62,ll042t1aaaff063.png,0.0
63,ll042t1aaaff064.png,0.0
64,ll042t1aaaff065.png,0.0
65,ll042t1aaaff066.png,0.0
66,ll042t1aaaff067.png,0.0
67,ll042t1aaaff068.png,0.0
68,ll042t1aaaff069.png,0.0
69,ll042t1aaaff070.png,0.0
70,ll042t1aaaff071.png,0.0
71,ll042t1aaaff072.png,0.0
72,ll042t1aaaff073.png,0.0
73,ll042t1aaaff074.png,0.0
74,ll042t1aaaff075.png,0.0
75,ll042t1aaaff076.png,0.0
76,ll042t1aaaff077.png,2.0
77,ll042t1aaaff078.png,3.0
78,ll042t1aaaff079.png,4.0
79,ll042t1aaaff080.png,4.0
